Id,tweet,sentiment
61,"Its very cold outside,take your jackets.",2
62,boy itz too mf hot outside itz a damn shame too b that fucking HOT!!,1
63,Making our way to Nashville for tonights game. So far it looks like a great weather day for some soccer. A lot of new faces on this trip,3
64,Running errands sans children on a sunny day in May. #ThingsIveComeToSavorLikeAFineWine,3
65,Sunshine. Blue sky. Now this is Colorado.,3
66,"@mention more stuff two do in cali , in vegas is all bullshit and hot weather . /;",1
67,Love me some summer weather. Brings out the long legs and short skirts!,3
68,"Ugh ! It Is Too Hot Outside , I Don't Even Wanna Be Bothered",1
69,"I dont care what anyone says, i fucking hate thunderstorms",1
70,"Dear gorgeous weather, you, me and tanning oil have a date very soon.",3
71,Loving the sunshine... rocking the hater blockers!,3
72,RT @mention: It's been a very beautiful day in West Yellowstone for being Friday the 13th! ~ Love Sunny Days ~,3
73,Picked up my sprocket...going to try and get it on tonight...possibly hit up Highflymx tomorrow if weather is decent...,2
74,sooo let me change.... it hella hot out there !,1
75,"sunshine & rain, a nice combo.",3
76,NWS Springfield - Multi-Media Hazardous Weather Briefing THIS HAZARDOUS WEATHER OUTLOOK IS FOR PORTIONS OF THE... {link},2
77,#WEATHER:  8:53 pm : 67.0F. Feels F. 30.00% Humidity. 6.9MPH East Wind.,2
78,...FIRE WEATHER WATCH MONDAY AFTERNOON THROUGH MID EVENING FOR MUCH OF THE AREA ALONG AND EAST OF THE CENTRAL MOUNTAIN  {link},2
79,@mention I think mine is gone too. Boo. Stupid cold weather.,1
80,Hey twitta world its been the most beautiful day here in washington its just sunny & brezzy Im justa lovin it  :),3
81,#WEATHER:  12:56 am: 53.0F. Feels 51F. 29.89% Humidity. 6.9MPH Northeast Wind.,2
82,Shoutouts to everybody suffering. Memphis and mississippi! Fuk this water.. #rain goaway,1
83,Lovvvvve this weather!,3
84,"Same, it's just a great place for warm weather RT @mention: @mention &lt;3 Washington Square!",3
85,"No boyfriend, no yoga, no anything tonight. Stuck on 78 in a horrible storm.",1
86,RT @mention: Days like today make me wish we had an outdoor basketball hoop at work.  Awesome weather today.,3
87,#WEATHER: 1:53 am C: 58.0F. Feels F. 30.23% Humidity. 3.5MPH South Wind.,2
88,It's really hot as hell out here yo,1
89,"#syttendemai, why does the weather have to be so shitty this weekend after such a great week of 80's",1
90,Partly sunny and cool {link} #cltnews,2
91,Enjoy the sunshine today.... See you in church tomorrow for Veterans Sunday!!!,3
92,It rained last night in la and it's 59 degrees now. It feels like the start of winter not the middle of spring.,1
93,...FLASH FLOOD WATCH IN EFFECT FROM NOON EDT TODAY THROUGH THIS EVENING... THE NATIONAL WEATHER SERVICE IN CLEVELAND HA {link},2
94,GVL WX ALERT: THE NATIONAL WEATHER SERVICE IN GREENVILLE-SPARTANBURG HAS ISSUED A * SEVERE THUNDERSTORM WARNING... {link},2
95,@mention it's been rainy here too... and for the next 4 days... bummer,1
96,"Check out the big rain in Norman, Oklahoma! Thunder storms and OKC Thunder! {link}",2
97,i think rainy weather is good for my asthma. #weirdtweet,3
98,"The Demo Derby tomorrow night in Lewiston, ID has been postponed due to severe weather. New date is June 25.",2
99,This weather is pissin me off. I just wish it would stay cold.,1
100,@mention yeah nasty humid weather....,1
101,"RT @mention: #GSP issues Severe Thunderstorm Watch for  Alexander, Avery, Burke, Caldwell, Catawba, Davie, Iredell, McDowell, Mitc ht ...",2
102,"RT @mention: Um, why is it 45 degrees right now?",1
103,Severe Thunderstorm Watch for portions of the area in NC until 11:00pm EDT. #ncwx,2
104,"Weather at SVMX is nice compared to Vegas..light breeze, great temperature",3
105,#WEATHER: 9:54 am E: 53.0F. Feels 50F. 29.80% Humidity. 10.4MPH Northwest Wind.,2
106,"Good lord. This humidity is making me look like a lion. Unfortunately, not a cute lion.",1
107,Boone County is under a severe thunderstorm warning.,2
108,So cold outside. Fuck.,1
109,Conserve some energy and open the windows today. Perfect weather.,3
110,This was the hail storm out our house a minute ago  {link},2
111,I hate how it's just cold enough to wear a sweatshirt but if it were a few degrees cooler I wouldn't need it. #warmup,1
112,"Hail Storm Leaves Dents, Holes in Buchanan {link} {link}",2
113,What a fuckn SIMP !!! #weak RT @mention i love this cuddling weather &lt;3,3
114,And now it's sunny? #wtf.,1
115,So happy It's hot and normal outside in ga cause I do not enjoy being cold,3
116,"Home between appointments, enjoying #thunderstorms & wild #cherry #blossoms. Hope you're having a lovely Saturday! {link}",3
117,It's sunny and 75/ It feels so good to be alive RT @mention Here's the Memorial Day Weekend forecast. {link},3
118,Weather Alert: Red Flag Warning issued May 23 at 4:13AM MDT expiring May 23 at 9:00PM MDT by NWS Flagstaff http:... {link},2
119,Oh my goodness. It's so cold outside!!! #Dislike,1
120,(Video) Executing a Perfect Palm Heel Strike: Partly cloudy with isolated showers and thunderstorms in the eveni... {link},2
121,"@mention morning, Newport Pagnell is fine and sunny too, hope all is well",3
122,#WEATHER: 6:53 pm C: 83.0F. Feels F. 29.84% Humidity. 10.4MPH South Wind.,2
123,#WEATHER:  12:53 am: 78.0F. Feels F. 29.74% Humidity. 10.4MPH Southeast Wind.,2
124,Leaving Denver today. Can't say I'm too sad. The weather was the worst. Rain/thunderstorm/hail and about 40 degrees. Let's go west!,1
125,RT @mention: TORNADO WARNING central OK INTERSTATE 40 BETWEEN MILE MARKERS 167 AND 192. {link} #weather #news #wx #OMG,2
126,Happy Monday Everyone!  Hope you're enjoying the sunshine!,3
127,This thunderstorm is crazy,1
128,Fucking fantastic weather is fucking fantastic. #summer,3
129,The weather was really cool in th ATL today! It would be the PERFECT  summer weather!,3
130,Too tired... Waking up in the rainy cold weather and walking my dog sucks,1
131,Good morning......waiting for my ride for class... Its so ugly outside in Cali..wired weather i hate it!!!,1
132,Weather data 10:00 AM 81.7&#xB0;F 48 pct 2.6 mph ESE,2
133,Ditto. RT @mention I'm SOOO not looking forward to a week of this weather. #gross,1
134,"Steve Linscomb: Morning clouds to start off, but sunshine breaking through as per usual. Partly cloudy to sunny with some wind, high 95.",2
135,@mention The weather is great so far. Fingers crossed! Have a wonderful afternoon!,3
136,Imma need fa da weather to get it together..its wayyyyyyyy tooooooo hot fa it to been freezin all week#imbouttpassout :(,1
137,Its hot AF outside *wipes 4head*..,1
138,RT @mention: Paula Deen Buffet at Horseshoe is back Open! Thanks to all the staff for their hard work. Let's enjoy some sunshine!,3
139,RT @mention: RT @mention: RT @mention: RT @mention: Weather gon be #NIICE for #SWEATPARTYOHIO this saturday @mention,3
140,Its finally warm in MI!!! Now we just need sunshine!!!,3
141,@mention and a hail storm? Lmao they don't last no more then 5 mins smh,2
142,This weather is unreal. I need #summer and #sunshine,1
143,The only thing I'm looking forward to tomorrow is the weather(: nice & fresh& windy & cold,3
144,its so windy... i don't like being home alone... i want dad to come home now... so tempted to go up to grandma's...,1
145,"#ncwx Conditions for Raleigh, NC at 2:49 am EDT: Current Conditions: Mostly Cloudy, 68 FForecast: Mon - Scattered Thunderstorms. High...",2
146,"Thunderstorm Rain and 74 F at Pease Air Force Base / Portsmouth, NH Winds are from the Northwest at 17.3 gusting to 21. {link}",2
147,"Weather today was suppose to be ""Partly cloudy"" Yeah theres some of that i'm guessing since its storming its ass off outside!",1
148,...LINE OF STRONG THUNDERSTORMS WILL AFFECT EASTERN BRADFORD... EXTREME NORTHWESTERN LUZERNE...WESTERN SUSQUEHANNA... {link},2
149,@mention only if you have skies as blue as ours an as much sunshine. :),3
150,I hate thunderstorms :(,1
151,this weather is gonna make studying so much harder. i hate the gloom. makes me shleepy,1
152,@mention well the weather is suppose to be nice in this area. So hope it all goes well for you!,3
153,@mention Weather is crap...let's go back!! #justsayin,1
154,"Severe Storm Damage In Southeast Wisconsin: At the height of Sunday's severe storms, thousands lost power in... {link}",2
155,#WEATHER: 11:51 pm : 50.0F. Feels 48F. 30.04% Humidity. 5.8MPH South Wind.,2
156,"Starbucks gets another mention: {link} - RT @mention oooh, frapp happy hour?? great timing w/ the warm weather! @mention...",3
157,#WEATHER:  6:56 am : 68.0F. Feels F. 29.61% Humidity. 9.2MPH South Wind.,2
158,RT @mention: Good grief...dust devils and wind storm {link},1
159,"""@mention: It's hot as sh** out"" Fo Show",1
160,"@mention You can have all my thunderstorms. I'm not scared of them, but I'm always nervous coz they make trees fall 'round here.",1
161,"@mention it was beautiful, thank you.  Great weather & everyone had fun!!  :)",3
162,RT @mention: loving todays weather this is hugo boss weather &lt;--- I Love your Hugo Jacket !,3
163,#WEATHER:  8:47 pm : 61.0F. Feels F. 29.81% Humidity. 0.0MPH North Wind.,2
164,RT @mention: TORNADO WARNING N central TX TORNADO NEAR SAGINAW...MOVING EAST SOUTHEAST AT 40 MPH.  SOFTBALL SIZED HAIL {link} ...,2
165,"@mention Thanks. Should have decent weather, plan on grilling. Have a good weekend yourself.",3
166,I see lightning in the distance! Woohoo! Hoping for a full blown thunder and lightning storm :),3
167,Fantastic weather today!,3
168,At the park with the kids. Hot as S;'T out here!,1
169,DURHAM ALERT: Severe Weather Statement issued May 13 at 8:05PM EDT expiring May 13 at 8:30PM EDT by NWS Raleigh ... {link},2
170,"@mention I think so too. Perfect weather to play guitar outside. Sunday morning, rain's no longer falling. Haha. (:",3
171,Hurry on in from this horrid rainy weather! Our store is dry & filled with springtime colors and fun music! Don't miss out!,1
172,"Forecast for This Afternoon:  							 								Partly sunny. Scattered showers with isolated thunderstorms. Highs... {link}",2
173,Indiana and it`s bipolar weather -__-,1
174,#WEATHER:  1:52 pm : 76.0F. Feels F. 29.68% Humidity. 13.8MPH South Wind.,2
175,"Thank heaven the weather doesn't suck today, this evening, I'll read a book, study Italian or something w/ no  NBA playoffs on",3
176,"the weather is beautiful, just like #oomf ;)",3
177,#WEATHER: 3:51 am M: 73.0F. Feels F. 29.73% Humidity. 9.2MPH East Wind.,2
178,#WEATHER:  2:53 am : 51.0F. Feels 50F. 29.85% Humidity. 4.6MPH Northwest Wind.,2
179,Not expecting any severe weather this weekend for the Twin Cities.  Just some heavy rain Friday night through Sunday. #MNwx,2
180,@mention it'd still be rainy in seattle though despite the fire,2
181,Since the temp. gonna be up in the 80's...I'm definitely wearing something short.,2
182,@mention 42 degrees celcius,2
183,"RT @mention: A moderate risk of severe weather covers the Miss. Valley, from Arkansas to Wisconsin. {link}",2
184,Casper Mountain has a fresh coat of snow this morning. {link},2
185,More Weather: Sunday(Mother's Day): Bright mix. High:73 Mon: Early shower/pm sun. High:72 Tue-Wed: Sunny. High:73-76 Thu-Fri: t-showers,2
186,#heatwave,2
187,Local Berry Crops Delayed Due To Cooler Weather {link},2
188,"It's hot outside, that stupid ""fire"" we had was bullshit.",1
189,guess ill get my ass up.. im mad its cold outside,1
190,Weather is getting crazy! #theworldisending #saveyourself,1
191,RT @mention: Heads up in Joplin anytime after 8:30pm. Severe storm moving at 50 mph could arrive around that time.,2
192,Maui is 77F MOSTLY CLOUDY  #maui #weather,2
193,I'm in pain and this weather is not making things any better,1
194,May have to bag a kayak trip on Penns Creek today because of likely thunderstorms. Bummer.,1
195,"#ncwx Conditions for Durham, NC at 11:50 pm EDT: Current Conditions: Mostly Cloudy, 72 FForecast: Tue - Isolated Thunderstorms. High:...",2
196,watch out people ..theres a storm coming....,2
197,Chilling enjoying the weather.,3
198,Severe Thunderstorm Warning for St. Joseph [MI] has been CANCELED.,2
199,I hope these kids dont get sick its freezing out here,1
200,@mention well the weather is cool so im get out n grind...,3
201,"Whew, that was work getting tired little guys down from the truck in the flash storm! Loving the rainy night tho",3
202,It's beautiful out. Happy Friday everyone. Enjoy the weather.,3
203,"i need to change my little avatar, with the weather being so nice i am clearly over dressed.",3
204,I don't understand why people are driving with their windows closed. Enjoy the weather assholes!,3
205,Its windy as fuvk tho {link},1
206,i love every weather out there.,3
207,Dis weather is scaren da hell outa me.!,1
208,Severe Thunderstorm Warning for Maries and Miller County until 9:15am CDT.,2
209,Saw dominator and rest of storm chasers by Tilden a couple hours ago. Wonder if we'll get the storm tonight.,2
210,Sick beach house at the Outer Banks. 80 degree sunny weather. There is nothing better than an outdoor shower. Nothing.,3
211,"AA: Partly Cloudy and Windy and 78 F at Salt Lake City International, UT Winds are from the South at 28.8 gusting to 40 {link}",2
212,"I saw a poor old lady fall unconscious in the snow today... Well I'm assuming she was poor, she only had 3 dollars in her purse.",2
213,"Current Conditions: Fair, 95 FForecast: Sat - Sunny. High: 91 Low: 71 Sun - Sunny. High: 93 Low: 72Full Forecast at Yahoo! Weather (p...",2
214,"RT @mention: Birds are chirping, its a sunny day. God is trying to tell us not to worry, everything is gonna be fine.",3
215,Looks like winter weather is finally over. Good thing--because I've been dying to get outside and start grilling!... {link},3
216,at the besties house chillin finna go out side n injoy the sun finnaly buffalo got sum good weather,3
217,... It's FREEZING compared to only a few hours ago! :(,1
218,"Violent thunderstorms kill 7 in Oklahoma, Kansas - El Paso Times {link} via @mention",2
219,I had to change my outfit cause of the shitty weather -.- #PESSTT,1
220,Final day of the #TeamFlo Summer Showcase. Gorgeous weather (for now). Ton of studs out here this year.,3
221,@mention That's a hard look to achieve with today's humidity.,2
222,It's hot as hell out here but I'm making money leggo,1
223,@mention ha! you all can enjoy this lovely weather we're having...,3
224,This weather is bipolar!,1
225,Sitting at Uncle Billy's with @mention in a rare Austin thunderstorm,2
226,What is with this super nice weather lately? I love it.,3
227,#WEATHER:  1:53 pm : 87.0F. Feels F. 29.80% Humidity. 18.4MPH South Wind.,2
228,It is so hot out!! Blahhhh i'm sweatin so bad :(,1
229,"Realized that my nose is running.. In May? Is it me, or is the weather just weird..? Yep. It's the weather..",1
230,"@mention @mention Also gorgeous weather here and much warmer, blue skies, birds chirping....Oh oh... Can't be good...",3
231,"Forecast for Tuesday from San Antonio, Texas Weather {link}",2
232,Damaging wind also now a concern for storm crossing Boone county line into Audrain county.  65mph winds reported! {link},2
233,Fuck this cold ass weather for real,1
234,RT @mention: Fuck kolumbus weather,1
235,"@mention looks like it, I've got a 7 1/2 tonne truck to load in this weather this afternoon also :/",1
236,Event cancelled. Severe Thunderstorm Watch from 5/18/2011 6:32 PM to 9:00 PM EDT for Garrett Co... Read more at {link},2
237,This weather is beautiful.,3
238,#WEATHER:  1:53 pm : 87.0F. Feels F. 29.96% Humidity. 15.0MPH Southeast Wind.,2
239,"@mention Well the weather has been bad, so the corn isn't going anyways. LOL",1
240,Nice and sunny outside.doesnt seem like its the end of the world to me!,3
241,"Holy fuck.. where did this really fucking hot, humid, disgusting weather come from? Time to make use of the A/C.",1
242,what happened to the 85 degree weather??? smh.. the weather is so unpredictable. 55 degress aint cuttin it..,1
243,"I been sweating so fucking much today. i thought it was gonna be rainy so i wore rain clothing -,-  #wth",1
244,Channel 9 crews deciding today's storm  strategy.  I'm heading south to Clinton.  From there?... {link},2
245,"A Severe Thunderstorm Watch has been issued for Hamilton, Hancock, Johnson, Madison and Marion counties. {link}",2
246,New event. Severe Thunderstorm Warning from 5/22/2011 4:46 PM to 5:30 PM EDT for Hamilton Count... Read more at {link},2
247,The bad weather across the country is getting in the way of my fantasy baseball team! #annoyed,1
248,@mention A rainy day with a big cup of coffee on a screened in porch sounds like your perfect reward,3
249,"Even in this hot ass weather, I can't sleep without blankets!!! #fml",1
250,Tornado Watch issued May 20 at 11:01AM CDT expiring May 20 at 6:00PM CDT by NWS Storm Prediction Center {link}... {link},2
251,This rain and humidity are really gonna mess up my hair..smh!,1
252,It's so fucking hot outside,1
253,RT @mention: Severe storm with winds  in excess of 70mph moving toward Pickens County.  It will be in Pickens County by 9:15pm.  Updates ...,2
254,"Something of a halfhearted reception for Victor Martinez for his first at-bat, though the miserable weather didn't help.",1
255,Prairie Island Unit 2 Safely Shuts Down: A thunderstorm may have triggered a shutdown of Unit 2 of the Prairie I... {link},2
256,"Sun is shining, weather is sweet! Nice day for a party at a beach mansion me thinks :)",3
257,I love this weather!,3
258,BULLETIN - EAS ACTIVATION REQUESTED SEVERE THUNDERSTORM WARNING NATIONAL WEATHER SERVICE TULSA OK 607 PM CDT THU MAY 12 2011  THE NATIONAL,2
259,It is SO clear and sunny you can see EVERY mountain!!!!,3
260,"Ordered a solar- and crank-powered weather radio. Storms forecasted for tonight, but it won't arrive til Fri. Shoulda ordered this sooner.",2
261,"North Hartland, VT - Now: Overcast (59.6 F)  Later: Chance of a Thunderstorm (67 F / 52 F){link} via @mention",2
262,"Anthem, AZ @mention:30 PM, Temp:75.9&#xB0;F, Wind:1.4 mph S, Baro:29.34 inches, Hum: 16, Rain:0.00 in., Hi:76.8&#xB0;F, Lo:61.2&#xB0;F@mention:00 AM",2
263,"RT @mention: Weather spotters report #tornado moving toward Joplin, Missouri, at 45 mph {link}",2
264,"By this evening & especially overnight into Friday, chances for scattered showers & storms increase, as our next storm system approaches.",2
265,So hot out! #sweating,1
266,Powell WX (05/19/11 01:00 AM) Temp=53.8&#xB0;F \ Daily Rain= 0.00 in. \ Max Gust=0.0 mph,2
267,"@mention im good, its a nice sunny for once",3
268,"Its too damn hot to be wearing jeans, and all this gear. Its miserable out here :(",1
269,Moving some more stuff into our house without AC...in south MS...worst. humidity.  EVER!!!,1
270,#Rain #AllFUCKINGWeek #AGAIN! #FML,1
271,"Beautiful sunny day, two beautiful daughters....Mother's Day doesn't get much better than this!!",3
272,Gorgeous day!!! 81 degrees of perfection!!!!,3
273,@mention @mention looks like spring storm continues today.,2
274,Monday - Mostly sunny except patchy fog in the morning. A 10 percent chance of thunderstorms in the afternoon. Hi...  {link},2
275,why is it 53 degrees and raining outside? I hope it clears up by later this afternoon.,1
276,@mention Ha! Our weather finally got beautiful (after raining like crazy 1st day of Bike to Work Week) so squirrels are everywhere.,3
277,#WEATHER:  1:56 pm : 74.0F. Feels F. 30.14% Humidity. 8.1MPH West Wind.,2
278,Yo this weather is whack I need to move to LA #thisshitblows,1
279,@mention Don't be no girl. I'm off in an hour and it's perfect outside! Lol at you got a cold.,3
280,Its so windy it knocked the power out earlier...scared LeeAnne bc she couldn't watch Backyardigans :),1
281,@mention @mention Sorry about the terrible weather today Shawntel.  Wish you could have seen better climate on your trip here.,1
282,"The weather here is gorgeous! It's at least 80 outside :) huddle house, then on to the beach!",3
283,Severe thunderstorm warning for Appanoose County,2
284,Alabama: Loss of national interest feared in twister recovery - Weather - TODAY.com {link} via @mention #sar,2
285,@mention #Omaha folk r finally getting nice weather! Come visit sometime!,3
286,#WEATHER:  2:52 pm : 85.0F. Feels F. 29.93% Humidity. 3.5MPH Variable Wind.,2
287,@mention or if there is a thunderstorm headed to my neighborhood...,2
288,This that perfect cake weather #quietStorm,3
289,Hanging out on Main on a beautiful sunny day!! Come down and get 30% off all merchandise.:) Clearance is still 50% off too!!,3
290,@mention it's so frikkin hot out it's unreal,1
291,"Overcast and 64 F at Butler County Automatic Weather Observing / Report, PA {link}",2
292,#WEATHER:  9:56 am : 76.0F. Feels F. 29.90% Humidity. 0.0MPH North Wind.,2
293,"60% chance of rain late tomorrow afternoon according to The Weather Channel, up from the 30% they projected earlier this week.",2
294,"RT @mention: Copious sunshine has been melting the snow out of the mountains, including Cabin Peak.  -JB {link}",2
295,"just got off work now I'm bout to go and enjoy this nice weather.Peace,love and god bless yall",3
296,#WEATHER:  8:55 pm : 82.0F. Feels F. 29.93% Humidity. 12.7MPH South Wind.,2
297,Looking out my window and the only cloud I see is super small. Lol NO SHADE! It's hot AF,1
298,#WEATHER:  6:53 pm : 83.0F. Feels F. 29.93% Humidity. 11.5MPH South Wind.,2
299,It's so warm out no wonder nobody's on twitter...all at the pool.,3
300,#amtarot 10 of pentacles; A whole day to spend with the family....and the weather is perfect!,3
301,@mention Would you quit rubbing your perfect weather in the faces of all us shivering and wet East Coasters? :P,1
302,#WEATHER:  3:53 pm : 68.0F. Feels F. 29.99% Humidity. 19.6MPH Northwest Wind.,2
303,#alliwantis for the sun to be out so it won't be so FREAKIN COLD!,1
304,Omg bad storm and my sister is out missing in it hope it dont tornado.  -cah&tlw&lt;3,1
305,"RT @mention: Overheard at tent city outside NV leg, 'seemed like a good idea until the freezing rain.' #nvleg",1
306,When are we finally going to get summer weather? Its may already!,1
307,Don't ever move here. 90s since beginning of April. Can only get worse. RT @mention IT'S TOO HOT TO FUNCTION OUTSIDE.,1
308,"In cali , weather is so nice here",3
309,Orange: Torando Watch until 10 PM.  Blue: Severe Thunderstorm Watch until 1 AM. {link},2
310,"@mention You too, friend! Makes us appreciate the sunny days more. :)",3
311,i hope cali doesnt havnt shit weather this weekend,1
312,Severe Thunderstorm Warning for Brooks and Kenedy County in TX until 3:30pm CDT. #txwx,2
313,"""@mention: Florida. 4Dogs. Bigbro. Beach. Sunshine. Perfect.""",3
314,Loving this sunshine!!! Get me outside ASAP!,3
315,RT @mention OH nooo this weather is on some other shit.....,1
316,Allergies can make it so hard to enjoy the nice weather! @mention,3
317,MONDAY FORECAST: Mostly Sunny. High 65 TONIGHT: Mainly Clear. Low.42 TUESDAY: Mostly Sunny. High 70.,2
318,the weather forecasters must have been in kahoots with the race organizers to keep me away from bay2breakers.  It's beautiful out.,3
319,"Chi weather felt warm,beautiful,& breezy today! I def. enjoyed it. I fixed lunch +dinner for my mom too since she was off work for a change.",3
320,Why can't it be like 15 degrees cooler? Then I wouldn't mind waiting outside #smh #texasweather,1
321,"[WATCH] UPDATE #13, Tropical Storm - Songda, NW Pacific Ocean, Winds 60 kt, Gusts 75 kt, reported by JTWC. {link} #fb",2
322,Lovin the storm and the margarita! #summertime,3
323,RT @mention: T-storm watch for KC (cont) {link},2
324,#WEATHER: 5:53 am A: 39.0F. Feels 36F. 29.77% Humidity. 4.6MPH Southeast Wind.,2
325,a live blog has been started in anticipation of an active severe weather day,2
326,@mention it's cloudy & rainy here! I'm jealous.,1
327,Thunderstorm... fun!,3
328,"Current Conditions: Partly Cloudy, 82 FForecast: Sat - PM Thunderstorms. High: 81 Low: 69 Sun - Mostly Sunny. High: 85 Low: 64Full Fo...",2
329,WOW ... it is a glorious Colorado day!! Sunshine! I love it! #fb,3
330,Finally nice weather for my shoot today woohoo!!!!!!!!!!!!,3
331,#WEATHER: 11:56 am : 76.0F. Feels F. 29.91% Humidity. 13.8MPH Southwest Wind.,2
332,Too windy today,1
333,This rain + ugly humidity=my hair a fool,1
334,RT @mention Its deathly hot outside,1
335,@mention not on an 80+ degree weather day. I did bring a cardigan to the office in case they crank the AC.,2
336,Feeling really off today... I'll blame the weather.,1
337,"Clear Night | Temp: 45.9F | Hum: 47&#x25; | Wind: 0.3 mph SSE | Rain: 0.00"" | Snow: 0.00"" | #wdisplay #mnwx",2
338,Its hot as Hell out I dont think I'm ready for summer... I ain't ready for my electric bill to be high either smh,1
339,Severe Thunderstorm Warning for Crawford County until 7:00pm. #arwx,2
340,Any of you other ATLiens sick of this bs weather? What the hell happened? Haven't been able to chill on the porch with with tunes for days!,1
341,@mention spring cleaning for my hair today! Adding highlights to help me get in the spring mood! Enjoy the beautiful weather!,3
342,@mention RT My damn nipples hard... Its cold out here--lmfao I b sayin the thing but I always thinks its cold,1
343,Dam its hot out hear not coming out side any more today !,1
344,I've had TWO DAYS of do-nothing weekend bliss except make new freckles. #sunshine,3
345,It's a beautiful sunny day today! {link}/,3
346,"DR: Thunderstorm Heavy Rain and Breezy and 54 F at Salt Lake City International, UT Winds are from the West at 24.2 gus {link}",2
